DATE,BUSINV
2004-03-01,1168100
2004-04-01,1176070
2004-05-01,1183161
2004-06-01,1195398
2004-07-01,1207045
2004-08-01,1217193
2004-09-01,1217197
2004-10-01,1225082
2004-11-01,1238758
2004-12-01,1241744
2005-01-01,1252486
2005-02-01,1261284
2005-03-01,1269147
2005-04-01,1274800
2005-05-01,1276409
2005-06-01,1275901
2005-07-01,1270233
2005-08-01,1274846
2005-09-01,1282654
2005-10-01,1291351
2005-11-01,1300756
2005-12-01,1314197
2006-01-01,1323298
2006-02-01,1327247
2006-03-01,1340279
2006-04-01,1348401
2006-05-01,1363321
2006-06-01,1375855
2006-07-01,1381022
2006-08-01,1391205
2006-09-01,1396470
2006-10-01,1401776
2006-11-01,1407276
2006-12-01,1408670
2007-01-01,1412565
2007-02-01,1419145
2007-03-01,1420775
2007-04-01,1428568
2007-05-01,1438127
2007-06-01,1445136
2007-07-01,1447231
2007-08-01,1452848
2007-09-01,1460482
2007-10-01,1466275
2007-11-01,1476711
2007-12-01,1488235
2008-01-01,1500163
2008-02-01,1507299
2008-03-01,1507948
2008-04-01,1514500
2008-05-01,1517410
2008-06-01,1526807
2008-07-01,1535746
2008-08-01,1539242
2008-09-01,1528773
2008-10-01,1514202
2008-11-01,1498149
2008-12-01,1465826
2009-01-01,1447940
2009-02-01,1427129
2009-03-01,1406242
2009-04-01,1387619
2009-05-01,1372471
2009-06-01,1354712
2009-07-01,1338627
2009-08-01,1321755
2009-09-01,1315401
2009-10-01,1323670
2009-11-01,1334154
2009-12-01,1331656
2010-01-01,1333989
2010-02-01,1342777
2010-03-01,1348723
2010-04-01,1353784
2010-05-01,1358012
2010-06-01,1367769
2010-07-01,1380021
2010-08-01,1391879
2010-09-01,1407020
2010-10-01,1423618
2010-11-01,1434598
2010-12-01,1450634
2011-01-01,1462605
2011-02-01,1472387
2011-03-01,1489086
2011-04-01,1502793
2011-05-01,1520911
2011-06-01,1527267
2011-07-01,1534634
2011-08-01,1542117
2011-09-01,1536915
2011-10-01,1550965
2011-11-01,1558118
2011-12-01,1567399
2012-01-01,1574174
2012-02-01,1587298
2012-03-01,1593355
2012-04-01,1601274
2012-05-01,1606141
2012-06-01,1611934
2012-07-01,1625152
2012-08-01,1631801
2012-09-01,1644794
2012-10-01,1645435
2012-11-01,1652107
2012-12-01,1658383
2013-01-01,1670382
2013-02-01,1672647
2013-03-01,1672275
2013-04-01,1675975
2013-05-01,1672657
2013-06-01,1675752
2013-07-01,1680174
2013-08-01,1688885
2013-09-01,1698537
2013-10-01,1708263
2013-11-01,1718480
2013-12-01,1727487
2014-01-01,1733229
2014-02-01,1742872
2014-03-01,1750606
2014-04-01,1757622
2014-05-01,1765977
2014-06-01,1770269
2014-07-01,1775249
2014-08-01,1781283
2014-09-01,1783157
2014-10-01,1787124
2014-11-01,1792142
2014-12-01,1790144
2015-01-01,1789850
2015-02-01,1795747
2015-03-01,1798736
2015-04-01,1804704
2015-05-01,1809547
2015-06-01,1821263
2015-07-01,1821589
2015-08-01,1824212
2015-09-01,1827757
2015-10-01,1830545
2015-11-01,1826907
2015-12-01,1823618
2016-01-01,1823091
2016-02-01,1818486
2016-03-01,1824501
2016-04-01,1830003
2016-05-01,1835493
2016-06-01,1836728
2016-07-01,1837644
2016-08-01,1837944
2016-09-01,1840761
2016-10-01,1842232
2016-11-01,1853990
2016-12-01,1858223
2017-01-01,1862003
2017-02-01,1865353
2017-03-01,1868886
2017-04-01,1867150
2017-05-01,1871523
2017-06-01,1880242
2017-07-01,1886793
2017-08-01,1897489
2017-09-01,1900378
2017-10-01,1901744
2017-11-01,1910407
2017-12-01,1918490
2018-01-01,1926721
2018-02-01,1937567
2018-03-01,1936261
2018-04-01,1940630
2018-05-01,1943499
2018-06-01,1946168
2018-07-01,1957203
2018-08-01,1967825
2018-09-01,1978069
2018-10-01,1988086
2018-11-01,1987588
2018-12-01,2003231
2019-01-01,2016888
2019-02-01,2024449
2019-03-01,2024908
2019-04-01,2034374
2019-05-01,2038926
2019-06-01,2041432
2019-07-01,2046708
2019-08-01,2047753
2019-09-01,2045682
2019-10-01,2046152
2019-11-01,2044147
2019-12-01,2044039
2020-01-01,2037185
2020-02-01,2026587
2020-03-01,2018780
2020-04-01,1988963
2020-05-01,1941894
2020-06-01,1919411
2020-07-01,1922986
2020-08-01,1934204
2020-09-01,1948260
2020-10-01,1966440
2020-11-01,1979303
2020-12-01,1992749
2021-01-01,2010148
2021-02-01,2027525
2021-03-01,2029539
2021-04-01,2031702
2021-05-01,2047313
2021-06-01,2065024
2021-07-01,2090198
2021-08-01,2111099
2021-09-01,2136033
2021-10-01,2166808
2021-11-01,2203127
2021-12-01,2261369
2022-01-01,2298300
2022-02-01,2340280
2022-03-01,2391911
2022-04-01,2417279
2022-05-01,2458607
2022-06-01,2491271.0
2022-07-01,2500296
2022-08-01,2521332
2022-09-01,2526012
2022-10-01,2531121
2022-11-01,2536365
2022-12-01,2545624
2023-01-01,2544079
2023-02-01,2545762
2023-03-01,2539799
2023-04-01,2541956
2023-05-01,2540827.0
2023-06-01,2541097.0
